"invoiceno","customerid","country","invoicemonth","totalinvoiceamount","totalitems","distinctproducts","highvaluebasket"
"536409","17908",United Kingdom,2010-12-01 00:00:00.000,232.03,169,51,1
"536412","17920",United Kingdom,2010-12-01 00:00:00.000,453.46,197,54,1
"536415","12838",United Kingdom,2010-12-01 00:00:00.000,390.79,228,59,1
"536416","13255",United Kingdom,2010-12-01 00:00:00.000,225.70,110,6,1
"536420","16583",United Kingdom,2010-12-01 00:00:00.000,233.45,111,14,1
"536423","18085",United Kingdom,2010-12-01 00:00:00.000,303.90,78,9,1
"536425","13758",United Kingdom,2010-12-01 00:00:00.000,362.45,137,17,1
"536437","13694",United Kingdom,2010-12-01 00:00:00.000,842.12,1004,6,1
"536446","15983",United Kingdom,2010-12-01 00:00:00.000,430.99,323,28,1
"536460","14849",United Kingdom,2010-12-01 00:00:00.000,295.54,158,14,1
"536463","14849",United Kingdom,2010-12-01 00:00:00.000,17.40,12,1,0
"536464","17968",United Kingdom,2010-12-01 00:00:00.000,265.10,151,74,1
"536466","14849",United Kingdom,2010-12-01 00:00:00.000,42.90,18,2,0
"536477","16210",United Kingdom,2010-12-01 00:00:00.000,2474.74,1070,14,1
"536488","17897",United Kingdom,2010-12-01 00:00:00.000,163.34,71,31,1
"536500","17377",United Kingdom,2010-12-01 00:00:00.000,223.90,102,15,1
"536502","16552",United Kingdom,2010-12-01 00:00:00.000,95.29,39,5,0
"536508","17181",United Kingdom,2010-12-01 00:00:00.000,155.52,216,2,1
"536514","17951",United Kingdom,2010-12-01 00:00:00.000,295.50,118,5,1
"536520","14729",United Kingdom,2010-12-01 00:00:00.000,313.49,197,69,1
"536521","12748",United Kingdom,2010-12-01 00:00:00.000,4.95,1,1,0
"536522","15012",United Kingdom,2010-12-01 00:00:00.000,188.56,84,46,1
"536523","12868",United Kingdom,2010-12-01 00:00:00.000,203.30,112,12,1
"536524","17572",United Kingdom,2010-12-01 00:00:00.000,70.80,24,4,0
"536525","14078",United Kingdom,2010-12-01 00:00:00.000,136.24,29,13,1
"536526","14001",United Kingdom,2010-12-01 00:00:00.000,301.24,94,9,1
"536527","12662",Germany,2010-12-01 00:00:00.000,261.48,157,15,1
"536528","15525",United Kingdom,2010-12-01 00:00:00.000,274.93,113,44,1
"536529","14237",United Kingdom,2010-12-01 00:00:00.000,161.00,38,9,1
"536530","17905",United Kingdom,2010-12-01 00:00:00.000,200.50,71,22,1
"536531","15485",United Kingdom,2010-12-01 00:00:00.000,939.59,391,22,1
"536532","12433",Norway,2010-12-01 00:00:00.000,1919.14,1852,73,1
"536533","16955",United Kingdom,2010-12-01 00:00:00.000,156.10,80,6,1
"536534","15350",United Kingdom,2010-12-01 00:00:00.000,115.65,51,5,1
"536535","15605",United Kingdom,2010-12-01 00:00:00.000,194.85,71,12,1
"536536","18144",United Kingdom,2010-12-01 00:00:00.000,165.05,95,3,1
"536537","15922",United Kingdom,2010-12-01 00:00:00.000,369.50,138,11,1
"536538","14594",United Kingdom,2010-12-01 00:00:00.000,255.00,146,31,1
"536539","15165",United Kingdom,2010-12-01 00:00:00.000,487.75,160,27,1
"536540","14911",EIRE,2010-12-01 00:00:00.000,540.38,231,20,1
"536541","14911",EIRE,2010-12-01 00:00:00.000,15.00,12,1,0
"536542","16456",United Kingdom,2010-12-01 00:00:00.000,787.40,392,16,1
"536544","",United Kingdom,2010-12-01 00:00:00.000,5521.14,1208,523,1
"536551","17346",United Kingdom,2010-12-01 00:00:00.000,134.11,84,29,1
"536555","",United Kingdom,2010-12-01 00:00:00.000,2.97,2,2,0
"536556","17643",United Kingdom,2010-12-01 00:00:00.000,101.55,71,8,1
"536557","17841",United Kingdom,2010-12-01 00:00:00.000,532.43,198,62,1
"536558","",United Kingdom,2010-12-01 00:00:00.000,99.75,5,1,0
"536559","17873",United Kingdom,2010-12-01 00:00:00.000,204.95,117,7,1
"536560","13093",United Kingdom,2010-12-01 00:00:00.000,799.40,256,13,1
"536561","12921",United Kingdom,2010-12-01 00:00:00.000,322.40,140,15,1
"536562","13468",United Kingdom,2010-12-01 00:00:00.000,308.65,99,18,1
"536563","17760",United Kingdom,2010-12-01 00:00:00.000,172.54,165,9,1
"536564","13468",United Kingdom,2010-12-01 00:00:00.000,51.40,12,2,0
"536565","",United Kingdom,2010-12-01 00:00:00.000,6.70,2,2,0
"536566","16928",United Kingdom,2010-12-01 00:00:00.000,116.25,93,6,1
"536567","16048",United Kingdom,2010-12-01 00:00:00.000,251.40,132,7,1
"536568","16048",United Kingdom,2010-12-01 00:00:00.000,5.04,12,1,0
"536569","16274",United Kingdom,2010-12-01 00:00:00.000,351.75,153,64,1
"536570","14496",United Kingdom,2010-12-01 00:00:00.000,304.34,86,5,1
"536571","14696",United Kingdom,2010-12-01 00:00:00.000,294.62,284,18,1
"536572","16539",United Kingdom,2010-12-01 00:00:00.000,442.35,301,21,1
"536573","17025",United Kingdom,2010-12-01 00:00:00.000,143.12,136,4,1
"536574","17025",United Kingdom,2010-12-01 00:00:00.000,17.85,3,1,0
"536575","13777",United Kingdom,2010-12-01 00:00:00.000,1552.98,858,8,1
"536576","13777",United Kingdom,2010-12-01 00:00:00.000,2558.42,1122,16,1
"536577","13777",United Kingdom,2010-12-01 00:00:00.000,497.00,388,4,1
"536578","17690",United Kingdom,2010-12-01 00:00:00.000,279.60,104,8,1
"536579","13777",United Kingdom,2010-12-01 00:00:00.000,315.96,276,2,1
"536580","17690",United Kingdom,2010-12-01 00:00:00.000,97.20,66,6,0
"536581","13777",United Kingdom,2010-12-01 00:00:00.000,330.00,200,1,1
"536582","12947",United Kingdom,2010-12-01 00:00:00.000,304.04,184,17,1
"536583","13777",United Kingdom,2010-12-01 00:00:00.000,198.00,120,1,1
"536584","13777",United Kingdom,2010-12-01 00:00:00.000,1132.80,384,1,1
"536585","17460",United Kingdom,2010-12-01 00:00:00.000,19.90,2,1,0
"536586","18229",United Kingdom,2010-12-01 00:00:00.000,344.20,44,7,1
"536587","14142",United Kingdom,2010-12-01 00:00:00.000,311.81,313,22,1
"536588","17069",United Kingdom,2010-12-01 00:00:00.000,277.05,103,11,1
"536590","13065",United Kingdom,2010-12-01 00:00:00.000,205.86,74,14,1
"536591","14606",United Kingdom,2010-12-01 00:00:00.000,198.32,93,40,1
"536592","",United Kingdom,2010-12-01 00:00:00.000,6915.65,1478,590,1
"536593","16835",United Kingdom,2010-12-01 00:00:00.000,81.75,19,5,0
"536594","15235",United Kingdom,2010-12-01 00:00:00.000,79.50,34,5,0
"536595","13576",United Kingdom,2010-12-01 00:00:00.000,349.15,108,11,1
"536596","",United Kingdom,2010-12-01 00:00:00.000,38.09,9,6,0
"536597","18011",United Kingdom,2010-12-01 00:00:00.000,102.79,71,28,1
"536598","13090",United Kingdom,2010-12-01 00:00:00.000,160.60,76,4,1
"536599","15694",United Kingdom,2010-12-01 00:00:00.000,306.40,80,6,1
"536600","17850",United Kingdom,2010-12-01 00:00:00.000,251.62,56,12,1
"536601","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536602","17850",United Kingdom,2010-12-01 00:00:00.000,163.76,64,12,1
"536603","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536604","14741",United Kingdom,2010-12-01 00:00:00.000,184.50,114,9,1
"536605","13715",United Kingdom,2010-12-01 00:00:00.000,272.65,107,15,1
"536607","17732",United Kingdom,2010-12-01 00:00:00.000,303.97,93,18,1
"536608","12855",United Kingdom,2010-12-01 00:00:00.000,38.10,30,3,0
"536609","17850",United Kingdom,2010-12-01 00:00:00.000,244.46,88,16,1
"536610","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536611","15752",United Kingdom,2010-12-01 00:00:00.000,259.65,153,14,1
"536612","17850",United Kingdom,2010-12-01 00:00:00.000,206.76,82,15,1
"536613","17855",United Kingdom,2010-12-01 00:00:00.000,208.97,197,17,1
"536614","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536615","14047",United Kingdom,2010-12-01 00:00:00.000,286.92,108,12,1
"536616","17925",United Kingdom,2010-12-01 00:00:00.000,244.08,72,1,1
"536617","13941",United Kingdom,2010-12-01 00:00:00.000,1095.12,644,11,1
"536618","17017",United Kingdom,2010-12-01 00:00:00.000,780.12,600,21,1
"536619","17017",United Kingdom,2010-12-01 00:00:00.000,97.20,48,2,0
"536620","14135",United Kingdom,2010-12-01 00:00:00.000,485.25,741,23,1
"536621","13108",United Kingdom,2010-12-01 00:00:00.000,350.06,298,10,1
"536623","15601",United Kingdom,2010-12-01 00:00:00.000,768.38,666,48,1
"536624","13418",United Kingdom,2010-12-01 00:00:00.000,610.64,228,22,1
"536626","13418",United Kingdom,2010-12-01 00:00:00.000,12.6,6,1,0
"536627","15658",United Kingdom,2010-12-01 00:00:00.000,306.20,64,14,1
"536628","17850",United Kingdom,2010-12-01 00:00:00.000,230.56,86,16,1
"536629","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536630","17850",United Kingdom,2010-12-01 00:00:00.000,244.46,88,16,1
"536631","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536632","14388",United Kingdom,2010-12-01 00:00:00.000,312.80,170,21,1
"536633","14901",United Kingdom,2010-12-01 00:00:00.000,204.15,105,18,1
"536634","18041",United Kingdom,2010-12-01 00:00:00.000,193.78,159,14,1
"536635","15955",United Kingdom,2010-12-01 00:00:00.000,572.38,246,20,1
"536636","15070",United Kingdom,2010-12-01 00:00:00.000,106.20,36,1,1
"536637","18041",United Kingdom,2010-12-01 00:00:00.000,219.66,157,55,1
"536638","16244",United Kingdom,2010-12-01 00:00:00.000,1056.63,619,63,1
"536639","15111",United Kingdom,2010-12-01 00:00:00.000,288.50,106,16,1
"536640","",United Kingdom,2010-12-01 00:00:00.000,45.85,11,11,0
"536641","12748",United Kingdom,2010-12-01 00:00:00.000,4.25,1,1,0
"536643","14390",United Kingdom,2010-12-01 00:00:00.000,223.70,74,26,1
"536663","16546",United Kingdom,2010-12-01 00:00:00.000,299.40,156,6,1
"536667","15260",United Kingdom,2010-12-01 00:00:00.000,362.50,214,16,1
"536670","15260",United Kingdom,2010-12-01 00:00:00.000,58.00,40,1,0
"536671","13305",United Kingdom,2010-12-01 00:00:00.000,136.20,132,5,1
"536672","14491",United Kingdom,2010-12-01 00:00:00.000,127.20,40,4,1
"536673","14060",United Kingdom,2010-12-01 00:00:00.000,339.84,504,8,1
"536674","15923",United Kingdom,2010-12-01 00:00:00.000,127.08,122,21,1
"536676","16752",United Kingdom,2010-12-01 00:00:00.000,207.50,54,9,1
"536681","17287",United Kingdom,2010-12-01 00:00:00.000,113.92,46,13,1
"536685","17850",United Kingdom,2010-12-01 00:00:00.000,380.46,108,17,1
"536688","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536690","17850",United Kingdom,2010-12-01 00:00:00.000,331.26,92,17,1
"536693","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536698","15363",United Kingdom,2010-12-01 00:00:00.000,326.00,144,16,1
"536707","12915",United Kingdom,2010-12-01 00:00:00.000,199.65,41,13,1
"536732","15544",United Kingdom,2010-12-01 00:00:00.000,354.54,274,26,1
"536733","15738",United Kingdom,2010-12-01 00:00:00.000,329.65,255,14,1
"536735","17381",United Kingdom,2010-12-01 00:00:00.000,211.20,128,1,1
"536736","17381",United Kingdom,2010-12-01 00:00:00.000,824.88,1296,5,1
"536738","15827",United Kingdom,2010-12-01 00:00:00.000,98.18,42,7,0
"536739","14180",United Kingdom,2010-12-01 00:00:00.000,201.75,31,12,1
"536740","15827",United Kingdom,2010-12-01 00:00:00.000,92.75,67,7,0
"536741","13117",United Kingdom,2010-12-01 00:00:00.000,202.12,130,15,1
"536742","16916",United Kingdom,2010-12-01 00:00:00.000,196.43,102,48,1
"536743","17964",United Kingdom,2010-12-01 00:00:00.000,261.76,195,35,1
"536744","14466",United Kingdom,2010-12-01 00:00:00.000,379.75,137,10,1
"536745","17235",United Kingdom,2010-12-01 00:00:00.000,341.90,126,10,1
"536746","16510",United Kingdom,2010-12-01 00:00:00.000,248.10,92,13,1
"536747","17802",United Kingdom,2010-12-01 00:00:00.000,100.20,75,12,1
"536748","15107",United Kingdom,2010-12-01 00:00:00.000,116.00,26,5,1
"536749","17976",United Kingdom,2010-12-01 00:00:00.000,321.79,93,56,1
"536750","17850",United Kingdom,2010-12-01 00:00:00.000,434.80,118,19,1
"536751","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536752","17850",United Kingdom,2010-12-01 00:00:00.000,390.66,104,19,1
"536753","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536754","14449",United Kingdom,2010-12-01 00:00:00.000,210.24,142,50,1
"536755","",United Kingdom,2010-12-01 00:00:00.000,54.25,15,15,0
"536756","",United Kingdom,2010-12-01 00:00:00.000,66.65,23,19,0
"536759","16781",United Kingdom,2010-12-01 00:00:00.000,311.25,113,17,1
"536761","13491",United Kingdom,2010-12-01 00:00:00.000,98.90,36,7,0
"536762","16186",United Kingdom,2010-12-01 00:00:00.000,307.68,231,20,1
"536763","17685",United Kingdom,2010-12-01 00:00:00.000,452.52,331,12,1
"536769","17581",United Kingdom,2010-12-01 00:00:00.000,668.40,375,31,1
"536771","17581",United Kingdom,2010-12-01 00:00:00.000,118.38,66,7,1
"536777","15732",United Kingdom,2010-12-01 00:00:00.000,138.10,97,5,1
"536778","13138",United Kingdom,2010-12-01 00:00:00.000,193.23,125,14,1
"536779","15823",United Kingdom,2010-12-01 00:00:00.000,15,1,1,0
"536780","",United Kingdom,2010-12-01 00:00:00.000,12.80,4,4,0
"536781","17460",United Kingdom,2010-12-01 00:00:00.000,50.4,24,1,0
"536782","17567",United Kingdom,2010-12-01 00:00:00.000,517.95,244,27,1
"536783","15061",United Kingdom,2010-12-01 00:00:00.000,4076.48,2909,38,1
"536784","15061",United Kingdom,2010-12-01 00:00:00.000,2170.90,1330,25,1
"536785","15061",United Kingdom,2010-12-01 00:00:00.000,2730.96,1008,6,1
"536786","15061",United Kingdom,2010-12-01 00:00:00.000,324.00,144,2,1
"536787","17850",United Kingdom,2010-12-01 00:00:00.000,192.46,76,13,1
"536788","15061",United Kingdom,2010-12-01 00:00:00.000,75.00,60,1,0
"536789","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536790","17850",United Kingdom,2010-12-01 00:00:00.000,532.01,141,17,1
"536791","17850",United Kingdom,2010-12-01 00:00:00.000,44.40,24,2,0
"536792","15061",United Kingdom,2010-12-01 00:00:00.000,30.00,24,1,0
"536793","16203",United Kingdom,2010-12-01 00:00:00.000,170.70,70,11,1
"536794","13767",United Kingdom,2010-12-01 00:00:00.000,322.80,96,4,1
"536795","15640",United Kingdom,2010-12-01 00:00:00.000,333.72,180,7,1
"536796","15574",United Kingdom,2010-12-01 00:00:00.000,349.04,159,96,1
"536797","16770",United Kingdom,2010-12-01 00:00:00.000,130.80,56,6,1
"536798","17838",United Kingdom,2010-12-01 00:00:00.000,684.46,454,29,1
"536799","17228",United Kingdom,2010-12-01 00:00:00.000,183.30,122,18,1
"536800","14829",United Kingdom,2010-12-01 00:00:00.000,236.97,190,19,1
"536801","",United Kingdom,2010-12-01 00:00:00.000,252.30,134,14,1
"536802","17412",United Kingdom,2010-12-01 00:00:00.000,197.30,50,8,1
"536803","14911",EIRE,2010-12-01 00:00:00.000,22.50,6,1,0
"536804","14031",United Kingdom,2010-12-01 00:00:00.000,1714.25,531,25,1
"536805","14775",United Kingdom,2010-12-01 00:00:00.000,406.56,384,20,1
"536806","12971",United Kingdom,2010-12-01 00:00:00.000,45.12,84,5,0
"536808","17659",United Kingdom,2010-12-01 00:00:00.000,247.80,64,12,1
"536809","15299",United Kingdom,2010-12-01 00:00:00.000,1003.20,1824,1,1
"536810","15299",United Kingdom,2010-12-01 00:00:00.000,303.96,204,1,1
"536811","15299",United Kingdom,2010-12-01 00:00:00.000,527.85,69,1,1
"536813","15646",United Kingdom,2010-12-01 00:00:00.000,189.80,230,17,1
"536819","13402",United Kingdom,2010-12-01 00:00:00.000,308.28,190,17,1
"536821","17757",United Kingdom,2010-12-01 00:00:00.000,143.45,80,23,1
"536823","13011",United Kingdom,2010-12-01 00:00:00.000,50.55,13,3,0
"536824","13798",United Kingdom,2010-12-01 00:00:00.000,408.00,160,1,1
"536830","16754",United Kingdom,2010-12-01 00:00:00.000,2002.40,4280,2,1
"536831","16029",United Kingdom,2010-12-01 00:00:00.000,569.40,260,4,1
"536832","16634",United Kingdom,2010-12-01 00:00:00.000,164.80,64,8,1
"536833","18239",United Kingdom,2010-12-01 00:00:00.000,438.10,208,29,1
"536834","14576",United Kingdom,2010-12-01 00:00:00.000,35.40,12,1,0
"536835","13145",United Kingdom,2010-12-01 00:00:00.000,295,1,1,1
"536836","18168",United Kingdom,2010-12-01 00:00:00.000,263.30,133,26,1
"536837","14395",United Kingdom,2010-12-01 00:00:00.000,308.68,174,27,1
"536838","14865",United Kingdom,2010-12-01 00:00:00.000,37.20,96,3,0
"536839","15093",United Kingdom,2010-12-01 00:00:00.000,623.73,879,16,1
"536840","12738",Germany,2010-12-01 00:00:00.000,155.35,148,11,1
"536841","16150",United Kingdom,2010-12-01 00:00:00.000,393.42,174,22,1
"536842","17552",United Kingdom,2010-12-01 00:00:00.000,263.62,130,11,1
"536843","17552",United Kingdom,2010-12-01 00:00:00.000,34.90,14,2,0
"536844","14236",United Kingdom,2010-12-01 00:00:00.000,189.30,38,3,1
"536845","17961",United Kingdom,2010-12-01 00:00:00.000,127.55,45,28,1
"536846","14573",United Kingdom,2010-12-01 00:00:00.000,402.00,126,68,1
"536847","17135",United Kingdom,2010-12-01 00:00:00.000,215.58,222,9,1
"536848","13408",United Kingdom,2010-12-01 00:00:00.000,534.00,280,3,1
"536849","17396",United Kingdom,2010-12-01 00:00:00.000,397.50,106,3,1
"536851","12967",United Kingdom,2010-12-01 00:00:00.000,1368.40,360,15,1
"536852","12686",France,2010-12-01 00:00:00.000,89.14,107,7,0
"536856","13370",United Kingdom,2010-12-01 00:00:00.000,754.87,343,39,1
"536857","16883",United Kingdom,2010-12-01 00:00:00.000,128.03,54,17,1
"536858","13520",Switzerland,2010-12-01 00:00:00.000,303.40,110,6,1
"536859","12841",United Kingdom,2010-12-01 00:00:00.000,294.25,186,24,1
"536860","16905",United Kingdom,2010-12-01 00:00:00.000,254.40,108,10,1
"536861","12427",Germany,2010-12-01 00:00:00.000,303.50,79,10,1
"536862","",United Kingdom,2010-12-01 00:00:00.000,1334.13,150,81,1
"536863","17967",United Kingdom,2010-12-01 00:00:00.000,112.27,73,41,1
"536864","",United Kingdom,2010-12-01 00:00:00.000,636.68,66,47,1
"536865","",United Kingdom,2010-12-01 00:00:00.000,2396.96,317,140,1
"536866","",United Kingdom,2010-12-01 00:00:00.000,8.47,1,1,0
"536874","16891",United Kingdom,2010-12-01 00:00:00.000,217.26,86,63,1
"536876","",United Kingdom,2010-12-01 00:00:00.000,7257.08,1641,586,1
"536883","",United Kingdom,2010-12-01 00:00:00.000,5.46,13,1,0
"536884","14589",United Kingdom,2010-12-01 00:00:00.000,39.75,5,3,0
"536885","",EIRE,2010-12-01 00:00:00.000,549.00,200,11,1
"536890","14156",EIRE,2010-12-01 00:00:00.000,322.20,1548,3,1
"536920","",United Kingdom,2010-12-01 00:00:00.000,69.30,58,10,0
"536938","14680",United Kingdom,2010-12-01 00:00:00.000,1680.88,464,14,1
"536943","17884",United Kingdom,2010-12-01 00:00:00.000,187.51,170,28,1
"536944","12557",Spain,2010-12-01 00:00:00.000,620.00,400,5,1
"536945","14083",United Kingdom,2010-12-01 00:00:00.000,294.01,152,62,1
"536946","13013",United Kingdom,2010-12-01 00:00:00.000,841.94,363,29,1
"536947","13013",United Kingdom,2010-12-01 00:00:00.000,686.40,439,38,1
"536954","17809",United Kingdom,2010-12-01 00:00:00.000,425.00,100,1,1
"536956","14210",United Kingdom,2010-12-01 00:00:00.000,304.95,93,15,1
"536957","17809",United Kingdom,2010-12-01 00:00:00.000,791.70,234,13,1
"536960","16477",United Kingdom,2010-12-01 00:00:00.000,225.65,125,14,1
"536967","12600",Germany,2010-12-01 00:00:00.000,76.50,31,2,0
"536968","16013",United Kingdom,2010-12-01 00:00:00.000,534.00,168,2,1
"536969","16013",United Kingdom,2010-12-01 00:00:00.000,528.00,192,1,1
"536970","17949",United Kingdom,2010-12-01 00:00:00.000,1314.00,120,1,1
"536971","12779",Poland,2010-12-01 00:00:00.000,248.16,140,8,1
"536972","16926",United Kingdom,2010-12-01 00:00:00.000,230.25,35,14,1
"536973","17787",United Kingdom,2010-12-01 00:00:00.000,736.28,356,30,1
"536974","12682",France,2010-12-01 00:00:00.000,336.24,132,16,1
"536975","14911",EIRE,2010-12-01 00:00:00.000,1705.65,827,71,1
"536976","14723",United Kingdom,2010-12-01 00:00:00.000,149.80,76,19,1
"536977","17954",United Kingdom,2010-12-01 00:00:00.000,108.78,60,14,1
"536980","17819",United Kingdom,2010-12-01 00:00:00.000,591.47,239,12,1
"536981","14723",United Kingdom,2010-12-01 00:00:00.000,97.39,38,22,0
"536982","",United Kingdom,2010-12-01 00:00:00.000,10661.69,1834,145,1
"536983","12712",Germany,2010-12-01 00:00:00.000,175.53,60,9,1
"536984","17841",United Kingdom,2010-12-01 00:00:00.000,339.54,136,29,1
"536985","15373",United Kingdom,2010-12-01 00:00:00.000,334.30,42,11,1
"536986","16140",United Kingdom,2010-12-01 00:00:00.000,124.14,104,7,1
"536987","17198",United Kingdom,2010-12-01 00:00:00.000,272.01,124,52,1
"536988","17238",United Kingdom,2010-12-01 00:00:00.000,254.39,100,38,1
"536989","17238",United Kingdom,2010-12-01 00:00:00.000,115.70,26,22,1
"536990","12793",Portugal,2010-12-01 00:00:00.000,131.80,65,7,1
"536991","",United Kingdom,2010-12-01 00:00:00.000,26.40,32,8,0
"536992","15769",United Kingdom,2010-12-01 00:00:00.000,91.80,36,1,0
"536993","14396",United Kingdom,2010-12-01 00:00:00.000,110.35,39,34,1
"536994","14898",United Kingdom,2010-12-01 00:00:00.000,98.50,18,3,0
"537022","12725",Italy,2010-12-01 00:00:00.000,427.80,164,24,1
"537023","16725",United Kingdom,2010-12-01 00:00:00.000,122.15,64,25,1
"537025","",United Kingdom,2010-12-01 00:00:00.000,76.83,48,15,0
"537026","12395",Belgium,2010-12-01 00:00:00.000,346.10,528,12,1
"537030","16455",United Kingdom,2010-12-01 00:00:00.000,246.30,142,13,1
"537031","16455",United Kingdom,2010-12-01 00:00:00.000,135.00,108,6,1
"537034","13081",United Kingdom,2010-12-01 00:00:00.000,2355.18,1338,73,1
"537035","13081",United Kingdom,2010-12-01 00:00:00.000,11.60,8,1,0
"537036","15545",United Kingdom,2010-12-01 00:00:00.000,135.33,75,31,1
"537037","17243",United Kingdom,2010-12-01 00:00:00.000,256.90,92,11,1
"537038","15465",United Kingdom,2010-12-01 00:00:00.000,535.75,125,7,1
"537040","13089",United Kingdom,2010-12-01 00:00:00.000,734.40,192,2,1
"537041","16033",United Kingdom,2010-12-01 00:00:00.000,155.64,52,26,1
"537042","13838",United Kingdom,2010-12-01 00:00:00.000,230.66,80,48,1
"537044","18055",United Kingdom,2010-12-01 00:00:00.000,431.45,93,19,1
"537045","15038",United Kingdom,2010-12-01 00:00:00.000,118.88,43,30,1
"537046","18109",United Kingdom,2010-12-01 00:00:00.000,277.45,55,14,1
"537047","13069",United Kingdom,2010-12-01 00:00:00.000,326.60,181,41,1
"537048","13069",United Kingdom,2010-12-01 00:00:00.000,5.90,2,2,0
"537049","16241",United Kingdom,2010-12-01 00:00:00.000,277.65,97,14,1
"537050","14800",United Kingdom,2010-12-01 00:00:00.000,555.84,437,51,1
"537051","15708",United Kingdom,2010-12-01 00:00:00.000,317.29,121,31,1
"537052","16839",United Kingdom,2010-12-01 00:00:00.000,552.24,232,5,1
"537053","16168",United Kingdom,2010-12-01 00:00:00.000,275.80,124,3,1
"537054","16931",United Kingdom,2010-12-01 00:00:00.000,152.05,82,40,1
"537055","16814",United Kingdom,2010-12-01 00:00:00.000,273.29,107,15,1
"537057","15351",United Kingdom,2010-12-01 00:00:00.000,274.67,129,49,1
"537058","13269",United Kingdom,2010-12-01 00:00:00.000,351.43,197,12,1
"537059","14813",United Kingdom,2010-12-01 00:00:00.000,125.43,58,20,1
"537065","12567",France,2010-12-01 00:00:00.000,1526.92,611,63,1
