invoiceno,customerid,country,invoicemonth,totalinvoiceamount,totalitems,distinctproducts,highvaluebasket,log_totalinvoiceamount
536540,14911.0,EIRE,2010-12-01 00:00:00.000,540.38,231,20,1,6.294121435234464
536541,14911.0,EIRE,2010-12-01 00:00:00.000,15.0,12,1,0,2.772588722239781
536542,16456.0,United Kingdom,2010-12-01 00:00:00.000,787.4,392,16,1,6.670005575278565
536551,17346.0,United Kingdom,2010-12-01 00:00:00.000,134.11,84,29,1,4.906089261471868
536556,17643.0,United Kingdom,2010-12-01 00:00:00.000,101.55,71,8,1,4.63035048451839
536557,17841.0,United Kingdom,2010-12-01 00:00:00.000,532.43,198,62,1,6.279327853135966
536559,17873.0,United Kingdom,2010-12-01 00:00:00.000,204.95,117,7,1,5.32763342088209
536560,13093.0,United Kingdom,2010-12-01 00:00:00.000,799.4,256,13,1,6.685111602709578
536561,12921.0,United Kingdom,2010-12-01 00:00:00.000,322.4,140,15,1,5.778889947143006
536562,13468.0,United Kingdom,2010-12-01 00:00:00.000,308.65,99,18,1,5.73544262738407
536563,17760.0,United Kingdom,2010-12-01 00:00:00.000,172.54,165,9,1,5.156408120365343
536564,13468.0,United Kingdom,2010-12-01 00:00:00.000,51.4,12,2,0,3.9589065913269965
536566,16928.0,United Kingdom,2010-12-01 00:00:00.000,116.25,93,6,1,4.764308407326388
536567,16048.0,United Kingdom,2010-12-01 00:00:00.000,251.4,132,7,1,5.5310151306670585
536568,16048.0,United Kingdom,2010-12-01 00:00:00.000,5.04,12,1,0,1.7984040119467235
536569,16274.0,United Kingdom,2010-12-01 00:00:00.000,351.75,153,64,1,5.865759590732924
536570,14496.0,United Kingdom,2010-12-01 00:00:00.000,304.34,86,5,1,5.721425909828796
536571,14696.0,United Kingdom,2010-12-01 00:00:00.000,294.62,284,18,1,5.689074845783927
536572,16539.0,United Kingdom,2010-12-01 00:00:00.000,442.35,301,21,1,6.094359525826016
536573,17025.0,United Kingdom,2010-12-01 00:00:00.000,143.12,136,4,1,4.9706462858798925
536574,17025.0,United Kingdom,2010-12-01 00:00:00.000,17.85,3,1,0,2.93651291389402
536575,13777.0,United Kingdom,2010-12-01 00:00:00.000,1552.98,858,8,1,7.348574660831903
536576,13777.0,United Kingdom,2010-12-01 00:00:00.000,2558.42,1122,16,1,7.847535949304448
536577,13777.0,United Kingdom,2010-12-01 00:00:00.000,497.0,388,4,1,6.210600077024653
536578,17690.0,United Kingdom,2010-12-01 00:00:00.000,279.6,104,8,1,5.6369301676683605
536579,13777.0,United Kingdom,2010-12-01 00:00:00.000,315.96,276,2,1,5.758775582950241
536580,17690.0,United Kingdom,2010-12-01 00:00:00.000,97.2,66,6,0,4.58700621536042
536581,13777.0,United Kingdom,2010-12-01 00:00:00.000,330.0,200,1,1,5.802118375377063
536582,12947.0,United Kingdom,2010-12-01 00:00:00.000,304.04,184,17,1,5.720442915549309
536583,13777.0,United Kingdom,2010-12-01 00:00:00.000,198.0,120,1,1,5.293304824724492
536584,13777.0,United Kingdom,2010-12-01 00:00:00.000,1132.8,384,1,1,7.033330101890203
536585,17460.0,United Kingdom,2010-12-01 00:00:00.000,19.9,2,1,0,3.039749158970765
536586,18229.0,United Kingdom,2010-12-01 00:00:00.000,344.2,44,7,1,5.844123959209273
536587,14142.0,United Kingdom,2010-12-01 00:00:00.000,311.81,313,22,1,5.745595977469612
536588,17069.0,United Kingdom,2010-12-01 00:00:00.000,277.05,103,11,1,5.627800953633573
536590,13065.0,United Kingdom,2010-12-01 00:00:00.000,205.86,74,14,1,5.3320422359496575
536591,14606.0,United Kingdom,2010-12-01 00:00:00.000,198.32,93,40,1,5.294911573413204
536593,16835.0,United Kingdom,2010-12-01 00:00:00.000,81.75,19,5,0,4.415824014257172
536594,15235.0,United Kingdom,2010-12-01 00:00:00.000,79.5,34,5,0,4.388257184424518
536595,13576.0,United Kingdom,2010-12-01 00:00:00.000,349.15,108,11,1,5.858361634101526
536597,18011.0,United Kingdom,2010-12-01 00:00:00.000,102.79,71,28,1,4.642369626977198
536598,13090.0,United Kingdom,2010-12-01 00:00:00.000,160.6,76,4,1,5.085124146086995
536599,15694.0,United Kingdom,2010-12-01 00:00:00.000,306.4,80,6,1,5.728149831104496
536600,17850.0,United Kingdom,2010-12-01 00:00:00.000,251.62,56,12,1,5.531886383345829
536601,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536602,17850.0,United Kingdom,2010-12-01 00:00:00.000,163.76,64,12,1,5.10448986956788
536603,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536604,14741.0,United Kingdom,2010-12-01 00:00:00.000,184.5,114,9,1,5.22305488204749
536605,13715.0,United Kingdom,2010-12-01 00:00:00.000,272.65,107,15,1,5.611849917589927
536607,17732.0,United Kingdom,2010-12-01 00:00:00.000,303.97,93,18,1,5.7202134111139475
536608,12855.0,United Kingdom,2010-12-01 00:00:00.000,38.1,30,3,0,3.66612246699132
536609,17850.0,United Kingdom,2010-12-01 00:00:00.000,244.46,88,16,1,5.503134001169363
536610,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536611,15752.0,United Kingdom,2010-12-01 00:00:00.000,259.65,153,14,1,5.563178511214115
536612,17850.0,United Kingdom,2010-12-01 00:00:00.000,206.76,82,15,1,5.336383567354493
536613,17855.0,United Kingdom,2010-12-01 00:00:00.000,208.97,197,17,1,5.346964663369558
536614,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536615,14047.0,United Kingdom,2010-12-01 00:00:00.000,286.92,108,12,1,5.6626826637707754
536616,17925.0,United Kingdom,2010-12-01 00:00:00.000,244.08,72,1,1,5.501584687857454
536617,13941.0,United Kingdom,2010-12-01 00:00:00.000,1095.12,644,11,1,6.999531950565567
536618,17017.0,United Kingdom,2010-12-01 00:00:00.000,780.12,600,21,1,6.6607287872045955
536619,17017.0,United Kingdom,2010-12-01 00:00:00.000,97.2,48,2,0,4.58700621536042
536620,14135.0,United Kingdom,2010-12-01 00:00:00.000,485.25,741,23,1,6.1867228949326565
536621,13108.0,United Kingdom,2010-12-01 00:00:00.000,350.06,298,10,1,5.8609571490281995
536623,15601.0,United Kingdom,2010-12-01 00:00:00.000,768.38,666,48,1,6.645584995699079
536624,13418.0,United Kingdom,2010-12-01 00:00:00.000,610.64,228,22,1,6.416143874139951
536626,13418.0,United Kingdom,2010-12-01 00:00:00.000,12.6,6,1,0,2.6100697927420065
536627,15658.0,United Kingdom,2010-12-01 00:00:00.000,306.2,64,14,1,5.727499001273517
536628,17850.0,United Kingdom,2010-12-01 00:00:00.000,230.56,86,16,1,5.444839019210804
536629,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536630,17850.0,United Kingdom,2010-12-01 00:00:00.000,244.46,88,16,1,5.503134001169363
536631,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536632,14388.0,United Kingdom,2010-12-01 00:00:00.000,312.8,170,21,1,5.748755840298932
536633,14901.0,United Kingdom,2010-12-01 00:00:00.000,204.15,105,18,1,5.323741418888195
536634,18041.0,United Kingdom,2010-12-01 00:00:00.000,193.78,159,14,1,5.271870716533053
536635,15955.0,United Kingdom,2010-12-01 00:00:00.000,572.38,246,20,1,6.351548673175804
536636,15070.0,United Kingdom,2010-12-01 00:00:00.000,106.2,36,1,1,4.674696248636701
536637,18041.0,United Kingdom,2010-12-01 00:00:00.000,219.66,157,55,1,5.39662305533216
536638,16244.0,United Kingdom,2010-12-01 00:00:00.000,1056.63,619,63,1,6.963785834807063
536639,15111.0,United Kingdom,2010-12-01 00:00:00.000,288.5,106,16,1,5.66815529701305
536641,12748.0,United Kingdom,2010-12-01 00:00:00.000,4.25,1,1,0,1.6582280766035324
536643,14390.0,United Kingdom,2010-12-01 00:00:00.000,223.7,74,26,1,5.414766179191283
536663,16546.0,United Kingdom,2010-12-01 00:00:00.000,299.4,156,6,1,5.705114919889979
536667,15260.0,United Kingdom,2010-12-01 00:00:00.000,362.5,214,16,1,5.895779296973574
536670,15260.0,United Kingdom,2010-12-01 00:00:00.000,58.0,40,1,0,4.07753744390572
536671,13305.0,United Kingdom,2010-12-01 00:00:00.000,136.2,132,5,1,4.921439715291784
536672,14491.0,United Kingdom,2010-12-01 00:00:00.000,127.2,40,4,1,4.853591544486569
536673,14060.0,United Kingdom,2010-12-01 00:00:00.000,339.84,504,8,1,5.831413158959755
536674,15923.0,United Kingdom,2010-12-01 00:00:00.000,127.08,122,21,1,4.852655068688459
536676,16752.0,United Kingdom,2010-12-01 00:00:00.000,207.5,54,9,1,5.339939041238856
536681,17287.0,United Kingdom,2010-12-01 00:00:00.000,113.92,46,13,1,4.744236234111089
536685,17850.0,United Kingdom,2010-12-01 00:00:00.000,380.46,108,17,1,5.944005995948281
536688,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536690,17850.0,United Kingdom,2010-12-01 00:00:00.000,331.26,92,17,1,5.805917794958333
536693,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536698,15363.0,United Kingdom,2010-12-01 00:00:00.000,326.0,144,16,1,5.7899601708972535
536707,12915.0,United Kingdom,2010-12-01 00:00:00.000,199.65,41,13,1,5.301562096712925
536732,15544.0,United Kingdom,2010-12-01 00:00:00.000,354.54,274,26,1,5.87363776049454
536733,15738.0,United Kingdom,2010-12-01 00:00:00.000,329.65,255,14,1,5.801060414120672
536735,17381.0,United Kingdom,2010-12-01 00:00:00.000,211.2,128,1,1,5.357529226179882
536736,17381.0,United Kingdom,2010-12-01 00:00:00.000,824.88,1296,5,1,6.716449484516678
536738,15827.0,United Kingdom,2010-12-01 00:00:00.000,98.18,42,7,0,4.596936381060988
536739,14180.0,United Kingdom,2010-12-01 00:00:00.000,201.75,31,12,1,5.311973692995522
536740,15827.0,United Kingdom,2010-12-01 00:00:00.000,92.75,67,7,0,4.54063166485052
536741,13117.0,United Kingdom,2010-12-01 00:00:00.000,202.12,130,15,1,5.313796937396423
536742,16916.0,United Kingdom,2010-12-01 00:00:00.000,196.43,102,48,1,5.285384091136137
536743,17964.0,United Kingdom,2010-12-01 00:00:00.000,261.76,195,35,1,5.571241068024272
536744,14466.0,United Kingdom,2010-12-01 00:00:00.000,379.75,137,10,1,5.942142991775271
536745,17235.0,United Kingdom,2010-12-01 00:00:00.000,341.9,126,10,1,5.837438859468874
536746,16510.0,United Kingdom,2010-12-01 00:00:00.000,248.1,92,13,1,5.517854422268135
536747,17802.0,United Kingdom,2010-12-01 00:00:00.000,100.2,75,12,1,4.617098756853365
536748,15107.0,United Kingdom,2010-12-01 00:00:00.000,116.0,26,5,1,4.762173934797756
536749,17976.0,United Kingdom,2010-12-01 00:00:00.000,321.79,93,56,1,5.7770019569816125
536750,17850.0,United Kingdom,2010-12-01 00:00:00.000,434.8,118,19,1,6.07718342251052
536751,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536752,17850.0,United Kingdom,2010-12-01 00:00:00.000,390.66,104,19,1,5.9703941164886905
536753,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536754,14449.0,United Kingdom,2010-12-01 00:00:00.000,210.24,142,50,1,5.352994927838733
536759,16781.0,United Kingdom,2010-12-01 00:00:00.000,311.25,113,17,1,5.743804149005687
536761,13491.0,United Kingdom,2010-12-01 00:00:00.000,98.9,36,7,0,4.604169685654508
536762,16186.0,United Kingdom,2010-12-01 00:00:00.000,307.68,231,20,1,5.732305141589403
536763,17685.0,United Kingdom,2010-12-01 00:00:00.000,452.52,331,12,1,6.117039370016048
536769,17581.0,United Kingdom,2010-12-01 00:00:00.000,668.4,375,31,1,6.506381788777226
536771,17581.0,United Kingdom,2010-12-01 00:00:00.000,118.38,66,7,1,4.782311682740504
536777,15732.0,United Kingdom,2010-12-01 00:00:00.000,138.1,97,5,1,4.935193098929397
536778,13138.0,United Kingdom,2010-12-01 00:00:00.000,193.23,125,14,1,5.269043023844041
536779,15823.0,United Kingdom,2010-12-01 00:00:00.000,15.0,1,1,0,2.772588722239781
536781,17460.0,United Kingdom,2010-12-01 00:00:00.000,50.4,24,1,0,3.9396381724611196
536782,17567.0,United Kingdom,2010-12-01 00:00:00.000,517.95,244,27,1,6.251807539411298
536783,15061.0,United Kingdom,2010-12-01 00:00:00.000,4076.48,2909,38,1,8.31323442951686
536784,15061.0,United Kingdom,2010-12-01 00:00:00.000,2170.9,1330,25,1,7.683357639478276
536785,15061.0,United Kingdom,2010-12-01 00:00:00.000,2730.96,1008,6,1,7.912774579295062
536786,15061.0,United Kingdom,2010-12-01 00:00:00.000,324.0,144,2,1,5.783825182329737
536787,17850.0,United Kingdom,2010-12-01 00:00:00.000,192.46,76,13,1,5.265070772754401
536788,15061.0,United Kingdom,2010-12-01 00:00:00.000,75.0,60,1,0,4.330733340286331
536789,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536790,17850.0,United Kingdom,2010-12-01 00:00:00.000,532.01,141,17,1,6.278540185715924
536791,17850.0,United Kingdom,2010-12-01 00:00:00.000,44.4,24,2,0,3.8155121050473024
536792,15061.0,United Kingdom,2010-12-01 00:00:00.000,30.0,24,1,0,3.4339872044851463
536793,16203.0,United Kingdom,2010-12-01 00:00:00.000,170.7,70,11,1,5.14574876790343
536794,13767.0,United Kingdom,2010-12-01 00:00:00.000,322.8,96,4,1,5.780126041243535
536795,15640.0,United Kingdom,2010-12-01 00:00:00.000,333.72,180,7,1,5.813294361436504
536796,15574.0,United Kingdom,2010-12-01 00:00:00.000,349.04,159,96,1,5.858047433667631
536797,16770.0,United Kingdom,2010-12-01 00:00:00.000,130.8,56,6,1,4.881285622068407
536798,17838.0,United Kingdom,2010-12-01 00:00:00.000,684.46,454,29,1,6.530090145731652
536799,17228.0,United Kingdom,2010-12-01 00:00:00.000,183.3,122,18,1,5.216564864675778
536800,14829.0,United Kingdom,2010-12-01 00:00:00.000,236.97,190,19,1,5.472144615306285
536802,17412.0,United Kingdom,2010-12-01 00:00:00.000,197.3,50,8,1,5.28978103552575
536803,14911.0,EIRE,2010-12-01 00:00:00.000,22.5,6,1,0,3.1570004211501135
536804,14031.0,United Kingdom,2010-12-01 00:00:00.000,1714.25,531,25,1,7.447314121571
536805,14775.0,United Kingdom,2010-12-01 00:00:00.000,406.56,384,20,1,6.010188161106084
536806,12971.0,United Kingdom,2010-12-01 00:00:00.000,45.12,84,5,0,3.8312466954008584
536808,17659.0,United Kingdom,2010-12-01 00:00:00.000,247.8,64,12,1,5.516649360865024
536809,15299.0,United Kingdom,2010-12-01 00:00:00.000,1003.2,1824,1,1,6.911946483600605
536810,15299.0,United Kingdom,2010-12-01 00:00:00.000,303.96,204,1,1,5.720180620465837
536811,15299.0,United Kingdom,2010-12-01 00:00:00.000,527.85,69,1,1,6.270704837774062
536813,15646.0,United Kingdom,2010-12-01 00:00:00.000,189.8,230,17,1,5.251225759014186
536819,13402.0,United Kingdom,2010-12-01 00:00:00.000,308.28,190,17,1,5.734247015460021
536821,17757.0,United Kingdom,2010-12-01 00:00:00.000,143.45,80,23,1,4.9729334269122445
536823,13011.0,United Kingdom,2010-12-01 00:00:00.000,50.55,13,3,0,3.942552210462969
536824,13798.0,United Kingdom,2010-12-01 00:00:00.000,408.0,160,1,1,6.013715156042802
536830,16754.0,United Kingdom,2010-12-01 00:00:00.000,2002.4,4280,2,1,7.602601016177664
536831,16029.0,United Kingdom,2010-12-01 00:00:00.000,569.4,260,4,1,6.346337869100086
536832,16634.0,United Kingdom,2010-12-01 00:00:00.000,164.8,64,8,1,5.110782242701195
536833,18239.0,United Kingdom,2010-12-01 00:00:00.000,438.1,208,29,1,6.084727177567672
536834,14576.0,United Kingdom,2010-12-01 00:00:00.000,35.4,12,1,0,3.594568774642695
536835,13145.0,United Kingdom,2010-12-01 00:00:00.000,295.0,1,1,1,5.69035945432406
536836,18168.0,United Kingdom,2010-12-01 00:00:00.000,263.3,133,26,1,5.577084821610244
536837,14395.0,United Kingdom,2010-12-01 00:00:00.000,308.68,174,27,1,5.735539506269393
536838,14865.0,United Kingdom,2010-12-01 00:00:00.000,37.2,96,3,0,3.6428355156125294
536839,15093.0,United Kingdom,2010-12-01 00:00:00.000,623.73,879,16,1,6.437319556397519
536840,12738.0,Germany,2010-12-01 00:00:00.000,155.35,148,11,1,5.05209708390385
536841,16150.0,United Kingdom,2010-12-01 00:00:00.000,393.42,174,22,1,5.977416331381923
536842,17552.0,United Kingdom,2010-12-01 00:00:00.000,263.62,130,11,1,5.578294834614265
536843,17552.0,United Kingdom,2010-12-01 00:00:00.000,34.9,14,2,0,3.580737295494233
536844,14236.0,United Kingdom,2010-12-01 00:00:00.000,189.3,38,3,1,5.248601774302104
536845,17961.0,United Kingdom,2010-12-01 00:00:00.000,127.55,45,28,1,4.856317933711899
536846,14573.0,United Kingdom,2010-12-01 00:00:00.000,402.0,126,68,1,5.998936561946683
536847,17135.0,United Kingdom,2010-12-01 00:00:00.000,215.58,222,9,1,5.377959994200234
536848,13408.0,United Kingdom,2010-12-01 00:00:00.000,534.0,280,3,1,6.282266746896006
536849,17396.0,United Kingdom,2010-12-01 00:00:00.000,397.5,106,3,1,5.98770749823027
536851,12967.0,United Kingdom,2010-12-01 00:00:00.000,1368.4,360,15,1,7.222127966686963
536852,12686.0,France,2010-12-01 00:00:00.000,89.14,107,7,0,4.501364017262502
536856,13370.0,United Kingdom,2010-12-01 00:00:00.000,754.87,343,39,1,6.62786940372116
536857,16883.0,United Kingdom,2010-12-01 00:00:00.000,128.03,54,17,1,4.860044935463755
536858,13520.0,Switzerland,2010-12-01 00:00:00.000,303.4,110,6,1,5.718342625987531
536859,12841.0,United Kingdom,2010-12-01 00:00:00.000,294.25,186,24,1,5.687822455077471
536860,16905.0,United Kingdom,2010-12-01 00:00:00.000,254.4,108,10,1,5.542830943598439
536861,12427.0,Germany,2010-12-01 00:00:00.000,303.5,79,10,1,5.718671087149952
536863,17967.0,United Kingdom,2010-12-01 00:00:00.000,112.27,73,41,1,4.729774349212622
536874,16891.0,United Kingdom,2010-12-01 00:00:00.000,217.26,86,63,1,5.385687012684944
536884,14589.0,United Kingdom,2010-12-01 00:00:00.000,39.75,5,3,0,3.7074558396868715
536890,14156.0,EIRE,2010-12-01 00:00:00.000,322.2,1548,3,1,5.77827132664694
536938,14680.0,United Kingdom,2010-12-01 00:00:00.000,1680.88,464,14,1,7.427667494349289
536943,17884.0,United Kingdom,2010-12-01 00:00:00.000,187.51,170,28,1,5.239151055878821
536944,12557.0,Spain,2010-12-01 00:00:00.000,620.0,400,5,1,6.431331081933479
536945,14083.0,United Kingdom,2010-12-01 00:00:00.000,294.01,152,62,1,5.68700925407037
536946,13013.0,United Kingdom,2010-12-01 00:00:00.000,841.94,363,29,1,6.736895781091615
536947,13013.0,United Kingdom,2010-12-01 00:00:00.000,686.4,439,38,1,6.532916364415733
536954,17809.0,United Kingdom,2010-12-01 00:00:00.000,425.0,100,1,1,6.054439346269371
536956,14210.0,United Kingdom,2010-12-01 00:00:00.000,304.95,93,15,1,5.72342168990855
536957,17809.0,United Kingdom,2010-12-01 00:00:00.000,791.7,234,13,1,6.67544483984311
536960,16477.0,United Kingdom,2010-12-01 00:00:00.000,225.65,125,14,1,5.4234069773868585
536967,12600.0,Germany,2010-12-01 00:00:00.000,76.5,31,2,0,4.350277936359301
536968,16013.0,United Kingdom,2010-12-01 00:00:00.000,534.0,168,2,1,6.282266746896006
536969,16013.0,United Kingdom,2010-12-01 00:00:00.000,528.0,192,1,1,6.270988431858299
536970,17949.0,United Kingdom,2010-12-01 00:00:00.000,1314.0,120,1,1,7.181591944611865
536971,12779.0,Poland,2010-12-01 00:00:00.000,248.16,140,8,1,5.518095260385945
